Tarefa;Evento Plugin
Cancelar_Reconfiguracao_Manual_P2P_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Reconfiguracao_Manual_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Redesenhar_Network.manualTask;WorkforceAndBuscaSLA_Plugin
Coletar_CPE_Conversor.manualTask;WFCampoAndUpdateTaskSLA_Plugin
Coletar_CPE_Conversor_Cancelamento.manualTask;WFCampoAndBuscaSLA_Plugin
Coletar_Informacoes_de_WAN_e_LAN.manualTask;Workforce_UpdateTaskSLA_Plugin
Coleta_e_Insercao_no_Registro_BR.manualTask;Workforce_UpdateTaskSLA_Plugin
Concluir_Projeto_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
Concluir_Projeto_Manual_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Conferir_Equipamento.manualTask;Workforce_UpdateTaskSLA_Plugin
Configurar_Alteracao_Network.manualTask;Workforce_UpdateTaskSLA_Plugin
Configurar_Equipamento_CPE.manualTask;Workforce_UpdateTaskSLA_Plugin
Configurar_Equipamento_CPE_PE.manualTask;Workforce_UpdateTaskSLA_Plugin
Confirmacao_dos_PEERs.manualTask;Workforce_UpdateTaskSLA_Plugin
Confirmacao_dos_PEERs_PE.manualTask;Workforce_UpdateTaskSLA_Plugin
Construir_Estacao_POP.manualTask;WorkforceAndBuscaSLA_Plugin
Construir_Last_Mile_CTBC.manualTask;Workforce_UpdateTaskSLA_Plugin
Construir_Last_Mile_CTBC_PE.manualTask;plugin_Update_Task_SLA
Construir_Rede_Interna.manualTask;Workforce_UpdateTaskSLA_Plugin
Construir_Rede_Interna_PE.manualTask;Workforce_UpdateTaskSLA_Plugin
Construir_Rede_Metalica2.manualTask;Workforce_UpdateTaskSLA_Plugin
Contratar_Last_Mile_Parceiro.manualTask;WorkforceAndBuscaSLA_Plugin
Contratar_Last_Mile_Parceiro_Modificacao.manualTask;WorkforceAndBuscaSLA_Plugin
Contratar_Last_Mile_Parceiro_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Desativar_Rede_Manual.manualTask;Workforce_UpdateTaskSLA_Plugin
Desativar_Rede_Manual_ADSL.manualTask;Workforce_UpdateTaskSLA_Plugin
Desativar_Rede_Manual_Dados.manualTask;Workforce_UpdateTaskSLA_Plugin
Desativar_Rede_Manual_P2P.manualTask;Workforce_UpdateTaskSLA_Plugin
Desbloquear_BGP.manualTask;Workforce_UpdateTaskSLA_Plugin
Desbloquear_BGP_PE.manualTask;Workforce_UpdateTaskSLA_Plugin
Desenhar_Dados_da_Rede.manualTask;Workforce_UpdateTaskSLA_Plugin
Desenhar_Dados_da_Rede_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Desenhar_Rede_Manual.manualTask;Workforce_UpdateTaskSLA_Plugin
Desenhar_Rede_Manual_ADSL.manualTask;Workforce_UpdateTaskSLA_Plugin
Desenhar_Rede_Manual_P2P.manualTask;Workforce_UpdateTaskSLA_Plugin
Desenhar_Rede_Manual_P2P_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Desenhar_Rede_Manual_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Designar_Rede_GIS.manualTask;Workforce_UpdateTaskSLA_Plugin
